gas,tot_rate,j,c62
H2,17.83779,2,2.7857142857142856
H2,17.840410000000002,2,5.571428571428571
H2,17.84164,2,8.357142857142856
H2,17.84256,2,11.142857142857142
H2,17.843349999999997,2,13.928571428571429
H2,17.84408,2,16.71428571428571
H2,17.84478,2,19.5
H2,17.84545,2,22.285714285714285
H2,17.84611,2,25.071428571428573
H2,17.84677,2,27.857142857142858
H2,17.84742,2,30.642857142857142
H2,17.84804,2,33.42857142857142
H2,17.84866,2,36.21428571428572
H2,17.84928,2,39.0
H2,17.8499,2,41.785714285714285
H2,17.85052,2,44.57142857142857
H2,17.85114,2,47.35714285714285
H2,17.85176,2,50.142857142857146
H2,17.85238,2,52.92857142857143
H2,17.853,2,55.71428571428572
H2,17.85362,2,58.5
H2,17.85424,2,61.285714285714285
H2,17.854870000000002,2,64.07142857142857
H2,17.85549,2,66.85714285714285
H2,17.856109999999997,2,69.64285714285715
H2,17.85674,2,72.42857142857143
H2,17.85737,2,75.21428571428572
H2,17.858,2,78.0
H2,17.858629999999998,2,80.78571428571429
H2,17.859270000000002,2,83.57142857142857
H2,17.8599,2,86.35714285714286
H2,17.86055,2,89.14285714285715
H2,17.86119,2,91.92857142857144
H2,17.86184,2,94.7142857142857
H2,17.86248,2,97.5
H2,17.863110000000002,2,100.28571428571428
H2,17.86373,2,103.07142857142856
H2,17.864349999999998,2,105.85714285714286
H2,17.86498,2,108.64285714285714
H2,17.86561,2,111.42857142857144
H2,17.866239999999998,2,114.21428571428572
H2,17.866880000000002,2,117.0
H2,17.86752,2,119.78571428571428
H2,17.86816,2,122.57142857142856
H2,17.86881,2,125.35714285714286
H2,17.86946,2,128.14285714285714
H2,17.87011,2,130.92857142857144
H2,17.87075,2,133.7142857142857
H2,17.871389999999998,2,136.5
H2,17.87204,2,139.2857142857143
H2,17.87269,2,142.07142857142856
H2,17.87334,2,144.85714285714286
H2,17.873990000000003,2,147.64285714285714
H2,17.874640000000003,2,150.42857142857144
H2,17.87529,2,153.2142857142857
H2,17.87595,2,156.0
H2,17.87661,2,158.78571428571428
H2,17.87726,2,161.57142857142858
H2,17.87792,2,164.35714285714286
H2,17.87858,2,167.14285714285714
H2,17.87924,2,169.92857142857142
H2,17.8799,2,172.71428571428572
H2,17.88056,2,175.5
H2,17.88122,2,178.28571428571428
H2,17.881880000000002,2,181.07142857142856
H2,17.882550000000002,2,183.8571428571429
H2,17.883210000000002,2,186.64285714285717
H2,17.88388,2,189.42857142857144
H2,17.884539999999998,2,192.2142857142857
H2,17.88521,2,195.0
H2,17.88587,2,197.78571428571428
H2,17.88654,2,200.57142857142856
H2,17.8872,2,203.3571428571429
H2,17.88787,2,206.14285714285717
H2,17.888540000000003,2,208.92857142857144
H2,17.88921,2,211.7142857142857
H2,17.889879999999998,2,214.5
H2,17.890549999999998,2,217.28571428571428
H2,17.89121,2,220.07142857142856
H2,17.89188,2,222.8571428571429
H2,17.89255,2,225.64285714285717
H2,17.89322,2,228.42857142857144
H2,17.89389,2,231.2142857142857
H2,17.89457,2,234.0
H2,17.89524,2,236.78571428571428
H2,17.89591,2,239.57142857142856
H2,17.89658,2,242.3571428571429
H2,17.89725,2,245.14285714285717
H2,17.89792,2,247.92857142857144
H2,17.89859,2,250.7142857142857
H2,17.89927,2,253.5
H2,17.89994,2,256.2857142857143
H2,17.90061,2,259.0714285714286
H2,17.90128,2,261.8571428571429
H2,17.90195,2,264.6428571428571
H2,17.90262,2,267.4285714285714
H2,17.9033,2,270.21428571428567
H2,17.90397,2,273.0
H2,17.90464,2,275.7857142857143
H2,17.90531,2,278.5714285714286
H2,17.90598,2,281.3571428571429
H2,17.90665,2,284.1428571428571
H2,17.90733,2,286.9285714285714
H2,17.908,2,289.71428571428567
H2,17.90867,2,292.5
H2,17.909339999999997,2,295.2857142857143
H2,17.91001,2,298.0714285714286
H2,17.91068,2,300.8571428571429
H2,17.91135,2,303.6428571428571
H2,17.91202,2,306.4285714285714
H2,17.91269,2,309.21428571428567
H2,17.91336,2,312.0
N2,17.00119,2,2.7857142857142856
N2,17.00121,2,5.571428571428571
N2,17.00125,2,8.357142857142856
N2,17.00102,2,11.142857142857142
N2,17.000809999999998,2,13.928571428571429
N2,17.000700000000002,2,16.71428571428571
N2,17.00044,2,19.5
N2,17.00011,2,22.285714285714285
N2,16.999750000000002,2,25.071428571428573
N2,16.99937,2,27.857142857142858
N2,16.999100000000002,2,30.642857142857142
N2,16.99876,2,33.42857142857142
N2,16.99839,2,36.21428571428572
N2,16.998,2,39.0
N2,16.99776,2,41.785714285714285
N2,16.997449999999997,2,44.57142857142857
N2,16.997120000000002,2,47.35714285714285
N2,16.99681,2,50.142857142857146
N2,16.99636,2,52.92857142857143
N2,16.996029999999998,2,55.71428571428572
N2,16.995749999999997,2,58.5
N2,16.99546,2,61.285714285714285
N2,16.99513,2,64.07142857142857
N2,16.9947,2,66.85714285714285
N2,16.99444,2,69.64285714285715
N2,16.994049999999998,2,72.42857142857143
N2,16.993769999999998,2,75.21428571428572
N2,16.99347,2,78.0
N2,16.99314,2,80.78571428571429
N2,16.99277,2,83.57142857142857
N2,16.99238,2,86.35714285714286
N2,16.99193,2,89.14285714285715
N2,16.99178,2,91.92857142857144
N2,16.99146,2,94.7142857142857
N2,16.991110000000003,2,97.5
N2,16.99072,2,100.28571428571428
N2,16.99037,2,103.07142857142856
N2,16.98997,2,105.85714285714286
N2,16.9897,2,108.64285714285714
N2,16.98939,2,111.42857142857144
N2,16.988979999999998,2,114.21428571428572
N2,16.9886,2,117.0
N2,16.98849,2,119.78571428571428
N2,16.9881,2,122.57142857142856
N2,16.98782,2,125.35714285714286
N2,16.98742,2,128.14285714285714
N2,16.98701,2,130.92857142857144
N2,16.986710000000002,2,133.7142857142857
N2,16.98639,2,136.5
N2,16.98605,2,139.2857142857143
N2,16.98572,2,142.07142857142856
N2,16.98535,2,144.85714285714286
N2,16.98494,2,147.64285714285714
N2,16.98465,2,150.42857142857144
N2,16.98431,2,153.2142857142857
N2,16.98398,2,156.0
N2,16.9836,2,158.78571428571428
N2,16.98326,2,161.57142857142858
N2,16.98284,2,164.35714285714286
N2,16.98247,2,167.14285714285714
N2,16.982,2,169.92857142857142
N2,16.98179,2,172.71428571428572
N2,16.981450000000002,2,175.5
N2,16.98109,2,178.28571428571428
N2,16.98083,2,181.07142857142856
N2,16.98052,2,183.8571428571429
N2,16.98016,2,186.64285714285717
N2,16.97982,2,189.42857142857144
N2,16.97945,2,192.2142857142857
N2,16.97915,2,195.0
N2,16.978749999999998,2,197.78571428571428
N2,16.97845,2,200.57142857142856
N2,16.97811,2,203.3571428571429
N2,16.97772,2,206.14285714285717
N2,16.97735,2,208.92857142857144
N2,16.976979999999998,2,211.7142857142857
N2,16.976679999999998,2,214.5
N2,16.97638,2,217.28571428571428
N2,16.9761,2,220.07142857142856
N2,16.97581,2,222.8571428571429
N2,16.97543,2,225.64285714285717
N2,16.97523,2,228.42857142857144
N2,16.974860000000003,2,231.2142857142857
N2,16.97439,2,234.0
N2,16.974320000000002,2,236.78571428571428
N2,16.97389,2,239.57142857142856
N2,16.97364,2,242.3571428571429
N2,16.97331,2,245.14285714285717
N2,16.97298,2,247.92857142857144
N2,16.97267,2,250.7142857142857
N2,16.972360000000002,2,253.5
N2,16.97206,2,256.2857142857143
N2,16.971629999999998,2,259.0714285714286
N2,16.97145,2,261.8571428571429
N2,16.9712,2,264.6428571428571
N2,16.97089,2,267.4285714285714
N2,16.970579999999998,2,270.21428571428567
N2,16.970319999999997,2,273.0
N2,16.97004,2,275.7857142857143
N2,16.96975,2,278.5714285714286
N2,16.969450000000002,2,281.3571428571429
N2,16.969179999999998,2,284.1428571428571
N2,16.96888,2,286.9285714285714
N2,16.968619999999998,2,289.71428571428567
N2,16.96837,2,292.5
N2,16.96806,2,295.2857142857143
N2,16.96781,2,298.0714285714286
N2,16.96748,2,300.8571428571429
N2,16.96723,2,303.6428571428571
N2,16.96709,2,306.4285714285714
N2,16.96665,2,309.21428571428567
N2,16.966459999999998,2,312.0
H2,32.10681,4,2.7857142857142856
H2,32.11148,4,5.571428571428571
H2,32.11357,4,8.357142857142856
H2,32.1151,4,11.142857142857142
H2,32.11641,4,13.928571428571429
H2,32.11761,4,16.71428571428571
H2,32.11875,4,19.5
H2,32.11986,4,22.285714285714285
H2,32.12094,4,25.071428571428573
H2,32.121990000000004,4,27.857142857142858
H2,32.12303,4,30.642857142857142
H2,32.12407,4,33.42857142857142
H2,32.1251,4,36.21428571428572
H2,32.12612,4,39.0
H2,32.12715,4,41.785714285714285
H2,32.12817,4,44.57142857142857
H2,32.129200000000004,4,47.35714285714285
H2,32.13022,4,50.142857142857146
H2,32.13125,4,52.92857142857143
H2,32.132279999999994,4,55.71428571428572
H2,32.13331,4,58.5
H2,32.13436,4,61.285714285714285
H2,32.1354,4,64.07142857142857
H2,32.13644,4,66.85714285714285
H2,32.13747,4,69.64285714285715
H2,32.13848,4,72.42857142857143
H2,32.13948,4,75.21428571428572
H2,32.14048,4,78.0
H2,32.14149,4,80.78571428571429
H2,32.14251,4,83.57142857142857
H2,32.14353,4,86.35714285714286
H2,32.14457,4,89.14285714285715
H2,32.145610000000005,4,91.92857142857144
H2,32.14663,4,94.7142857142857
H2,32.14767,4,97.5
H2,32.14871,4,100.28571428571428
H2,32.149750000000004,4,103.07142857142856
H2,32.15079,4,105.85714285714286
H2,32.15184,4,108.64285714285714
H2,32.15289,4,111.42857142857144
H2,32.15394,4,114.21428571428572
H2,32.15499,4,117.0
H2,32.15605,4,119.78571428571428
H2,32.15711,4,122.57142857142856
H2,32.15816,4,125.35714285714286
H2,32.15922,4,128.14285714285714
H2,32.16028,4,130.92857142857144
H2,32.16134,4,133.7142857142857
H2,32.16241,4,136.5
H2,32.16347,4,139.2857142857143
H2,32.16454,4,142.07142857142856
H2,32.16561,4,144.85714285714286
H2,32.16668,4,147.64285714285714
H2,32.16776,4,150.42857142857144
H2,32.16883,4,153.2142857142857
H2,32.16991,4,156.0
H2,32.17098,4,158.78571428571428
H2,32.17206,4,161.57142857142858
H2,32.17314,4,164.35714285714286
H2,32.17422,4,167.14285714285714
H2,32.1753,4,169.92857142857142
H2,32.176390000000005,4,172.71428571428572
H2,32.17747,4,175.5
H2,32.178560000000004,4,178.28571428571428
H2,32.17965,4,181.07142857142856
H2,32.180730000000004,4,183.8571428571429
H2,32.18184,4,186.64285714285717
H2,32.18291,4,189.42857142857144
H2,32.18401,4,192.2142857142857
H2,32.1851,4,195.0
H2,32.18619,4,197.78571428571428
H2,32.187290000000004,4,200.57142857142856
H2,32.18838,4,203.3571428571429
H2,32.18948,4,206.14285714285717
H2,32.19057,4,208.92857142857144
H2,32.19167,4,211.7142857142857
H2,32.19276,4,214.5
H2,32.19386,4,217.28571428571428
H2,32.19496,4,220.07142857142856
H2,32.19606,4,222.8571428571429
H2,32.19716,4,225.64285714285717
H2,32.198260000000005,4,228.42857142857144
H2,32.19936,4,231.2142857142857
H2,32.20046,4,234.0
H2,32.20157,4,236.78571428571428
H2,32.202670000000005,4,239.57142857142856
H2,32.20377,4,242.3571428571429
H2,32.20488,4,245.14285714285717
H2,32.20599,4,247.92857142857144
H2,32.20711,4,250.7142857142857
H2,32.20825,4,253.5
H2,32.20938,4,256.2857142857143
H2,32.21047,4,259.0714285714286
H2,32.21154,4,261.8571428571429
H2,32.21262,4,264.6428571428571
H2,32.21371,4,267.4285714285714
H2,32.214800000000004,4,270.21428571428567
H2,32.21589,4,273.0
H2,32.21699,4,275.7857142857143
H2,32.21809,4,278.5714285714286
H2,32.219190000000005,4,281.3571428571429
H2,32.22029,4,284.1428571428571
H2,32.22139,4,286.9285714285714
H2,32.22249,4,289.71428571428567
H2,32.223589999999994,4,292.5
H2,32.22469,4,295.2857142857143
H2,32.22579,4,298.0714285714286
H2,32.22689,4,300.8571428571429
H2,32.22798,4,303.6428571428571
H2,32.22908,4,306.4285714285714
H2,32.23018,4,309.21428571428567
H2,32.231280000000005,4,312.0
N2,30.58433,4,2.7857142857142856
N2,30.58635,4,5.571428571428571
N2,30.58871,4,8.357142857142856
N2,30.58982,4,11.142857142857142
N2,30.59102,4,13.928571428571429
N2,30.591980000000003,4,16.71428571428571
N2,30.59295,4,19.5
N2,30.59348,4,22.285714285714285
N2,30.59416,4,25.071428571428573
N2,30.594710000000003,4,27.857142857142858
N2,30.59512,4,30.642857142857142
N2,30.595730000000003,4,33.42857142857142
N2,30.59622,4,36.21428571428572
N2,30.59658,4,39.0
N2,30.5969,4,41.785714285714285
N2,30.59725,4,44.57142857142857
N2,30.5975,4,47.35714285714285
N2,30.59761,4,50.142857142857146
N2,30.59777,4,52.92857142857143
N2,30.597970000000004,4,55.71428571428572
N2,30.59791,4,58.5
N2,30.59796,4,61.285714285714285
N2,30.59799,4,64.07142857142857
N2,30.59801,4,66.85714285714285
N2,30.59801,4,69.64285714285715
N2,30.59799,4,72.42857142857143
N2,30.59794,4,75.21428571428572
N2,30.59796,4,78.0
N2,30.59784,4,80.78571428571429
N2,30.59786,4,83.57142857142857
N2,30.59783,4,86.35714285714286
N2,30.59773,4,89.14285714285715
N2,30.59766,4,91.92857142857144
N2,30.59758,4,94.7142857142857
N2,30.5974,4,97.5
N2,30.59739,4,100.28571428571428
N2,30.59728,4,103.07142857142856
N2,30.59703,4,105.85714285714286
N2,30.59704,4,108.64285714285714
N2,30.59693,4,111.42857142857144
N2,30.59681,4,114.21428571428572
N2,30.596680000000003,4,117.0
N2,30.59665,4,119.78571428571428
N2,30.59652,4,122.57142857142856
N2,30.59638,4,125.35714285714286
N2,30.59618,4,128.14285714285714
N2,30.59607,4,130.92857142857144
N2,30.59585,4,133.7142857142857
N2,30.59571,4,136.5
N2,30.59546,4,139.2857142857143
N2,30.59529,4,142.07142857142856
N2,30.595060000000004,4,144.85714285714286
N2,30.59491,4,147.64285714285714
N2,30.59477,4,150.42857142857144
N2,30.59456,4,153.2142857142857
N2,30.59438,4,156.0
N2,30.59418,4,158.78571428571428
N2,30.59391,4,161.57142857142858
N2,30.59369,4,164.35714285714286
N2,30.59346,4,167.14285714285714
N2,30.59322,4,169.92857142857142
N2,30.59297,4,172.71428571428572
N2,30.59276,4,175.5
N2,30.5924,4,178.28571428571428
N2,30.59221,4,181.07142857142856
N2,30.591980000000003,4,183.8571428571429
N2,30.59171,4,186.64285714285717
N2,30.59147,4,189.42857142857144
N2,30.59119,4,192.2142857142857
N2,30.59095,4,195.0
N2,30.59069,4,197.78571428571428
N2,30.59052,4,200.57142857142856
N2,30.59015,4,203.3571428571429
N2,30.59,4,206.14285714285717
N2,30.58966,4,208.92857142857144
N2,30.58943,4,211.7142857142857
N2,30.58916,4,214.5
N2,30.5889,4,217.28571428571428
N2,30.58864,4,220.07142857142856
N2,30.58836,4,222.8571428571429
N2,30.5881,4,225.64285714285717
N2,30.58781,4,228.42857142857144
N2,30.58752,4,231.2142857142857
N2,30.58721,4,234.0
N2,30.58697,4,236.78571428571428
N2,30.58668,4,239.57142857142856
N2,30.58643,4,242.3571428571429
N2,30.58614,4,245.14285714285717
N2,30.58585,4,247.92857142857144
N2,30.58557,4,250.7142857142857
N2,30.58524,4,253.5
N2,30.58497,4,256.2857142857143
N2,30.584550000000004,4,259.0714285714286
N2,30.584370000000003,4,261.8571428571429
N2,30.58411,4,264.6428571428571
N2,30.58382,4,267.4285714285714
N2,30.58352,4,270.21428571428567
N2,30.58322,4,273.0
N2,30.58295,4,275.7857142857143
N2,30.58268,4,278.5714285714286
N2,30.58246,4,281.3571428571429
N2,30.58216,4,284.1428571428571
N2,30.58188,4,286.9285714285714
N2,30.58159,4,289.71428571428567
N2,30.5813,4,292.5
N2,30.581010000000003,4,295.2857142857143
N2,30.580730000000003,4,298.0714285714286
N2,30.580450000000003,4,300.8571428571429
N2,30.58021,4,303.6428571428571
N2,30.57992,4,306.4285714285714
N2,30.57964,4,309.21428571428567
N2,30.57935,4,312.0
H2,46.37586,6,2.7857142857142856
H2,46.38263,6,5.571428571428571
H2,46.38561,6,8.357142857142856
H2,46.38776,6,11.142857142857142
H2,46.38961,6,13.928571428571429
H2,46.39129,6,16.71428571428571
H2,46.3929,6,19.5
H2,46.39445,6,22.285714285714285
H2,46.39594,6,25.071428571428573
H2,46.39741,6,27.857142857142858
H2,46.39887,6,30.642857142857142
H2,46.40032,6,33.42857142857142
H2,46.40176,6,36.21428571428572
H2,46.40319,6,39.0
H2,46.40463,6,41.785714285714285
H2,46.40606,6,44.57142857142857
H2,46.4075,6,47.35714285714285
H2,46.40895,6,50.142857142857146
H2,46.410410000000006,6,52.92857142857143
H2,46.41187,6,55.71428571428572
H2,46.41331,6,58.5
H2,46.41471,6,61.285714285714285
H2,46.41609,6,64.07142857142857
H2,46.41748,6,66.85714285714285
H2,46.41889,6,69.64285714285715
H2,46.42031,6,72.42857142857143
H2,46.42174,6,75.21428571428572
H2,46.423170000000006,6,78.0
H2,46.42463,6,80.78571428571429
H2,46.42605,6,83.57142857142857
H2,46.42749,6,86.35714285714286
H2,46.42893,6,89.14285714285715
H2,46.43038,6,91.92857142857144
H2,46.431830000000005,6,94.7142857142857
H2,46.43329,6,97.5
H2,46.434740000000005,6,100.28571428571428
H2,46.4362,6,103.07142857142856
H2,46.43767,6,105.85714285714286
H2,46.43913,6,108.64285714285714
H2,46.4406,6,111.42857142857144
H2,46.44208,6,114.21428571428572
H2,46.44355,6,117.0
H2,46.44503,6,119.78571428571428
H2,46.44651,6,122.57142857142856
H2,46.44799,6,125.35714285714286
H2,46.44947,6,128.14285714285714
H2,46.45096,6,130.92857142857144
H2,46.45245,6,133.7142857142857
H2,46.45394,6,136.5
H2,46.45543,6,139.2857142857143
H2,46.45693,6,142.07142857142856
H2,46.45843,6,144.85714285714286
H2,46.45993,6,147.64285714285714
H2,46.46143,6,150.42857142857144
H2,46.46294,6,153.2142857142857
H2,46.46445,6,156.0
H2,46.46596,6,158.78571428571428
H2,46.46747,6,161.57142857142858
H2,46.469,6,164.35714285714286
H2,46.470490000000005,6,167.14285714285714
H2,46.47201,6,169.92857142857142
H2,46.47353,6,172.71428571428572
H2,46.47505,6,175.5
H2,46.47657,6,178.28571428571428
H2,46.47809,6,181.07142857142856
H2,46.47962,6,183.8571428571429
H2,46.48114,6,186.64285714285717
H2,46.48267,6,189.42857142857144
H2,46.4842,6,192.2142857142857
H2,46.48573,6,195.0
H2,46.48727,6,197.78571428571428
H2,46.4888,6,200.57142857142856
H2,46.49035,6,203.3571428571429
H2,46.4919,6,206.14285714285717
H2,46.49345,6,208.92857142857144
H2,46.49498,6,211.7142857142857
H2,46.49655,6,214.5
H2,46.49812,6,217.28571428571428
H2,46.49963,6,220.07142857142856
H2,46.50112,6,222.8571428571429
H2,46.50264,6,225.64285714285717
H2,46.50417,6,228.42857142857144
H2,46.50571,6,231.2142857142857
H2,46.50725,6,234.0
H2,46.50879,6,236.78571428571428
H2,46.51034,6,239.57142857142856
H2,46.51188,6,242.3571428571429
H2,46.51342,6,245.14285714285717
H2,46.51497,6,247.92857142857144
H2,46.51651,6,250.7142857142857
H2,46.518060000000006,6,253.5
H2,46.5196,6,256.2857142857143
H2,46.52115,6,259.0714285714286
H2,46.52269,6,261.8571428571429
H2,46.52424,6,264.6428571428571
H2,46.52578,6,267.4285714285714
H2,46.52733,6,270.21428571428567
H2,46.52887,6,273.0
H2,46.53042,6,275.7857142857143
H2,46.53196,6,278.5714285714286
H2,46.53351,6,281.3571428571429
H2,46.53505,6,284.1428571428571
H2,46.5366,6,286.9285714285714
H2,46.53814,6,289.71428571428567
H2,46.53969,6,292.5
H2,46.54123,6,295.2857142857143
H2,46.54277,6,298.0714285714286
H2,46.54432,6,300.8571428571429
H2,46.545860000000005,6,303.6428571428571
H2,46.5474,6,306.4285714285714
H2,46.54894,6,309.21428571428567
H2,46.55048,6,312.0
N2,44.18655,6,2.7857142857142856
N2,44.19126,6,5.571428571428571
N2,44.1946,6,8.357142857142856
N2,44.19718,6,11.142857142857142
N2,44.19942,6,13.928571428571429
N2,44.20102,6,16.71428571428571
N2,44.20269,6,19.5
N2,44.20407,6,22.285714285714285
N2,44.20526,6,25.071428571428573
N2,44.20627,6,27.857142857142858
N2,44.2074,6,30.642857142857142
N2,44.20835,6,33.42857142857142
N2,44.20919,6,36.21428571428572
N2,44.20991,6,39.0
N2,44.21052,6,41.785714285714285
N2,44.21104,6,44.57142857142857
N2,44.2115,6,47.35714285714285
N2,44.2119,6,50.142857142857146
N2,44.21227,6,52.92857142857143
N2,44.2126,6,55.71428571428572
N2,44.21288,6,58.5
N2,44.21313,6,61.285714285714285
N2,44.21335,6,64.07142857142857
N2,44.21354,6,66.85714285714285
N2,44.21369,6,69.64285714285715
N2,44.21381,6,72.42857142857143
N2,44.21391,6,75.21428571428572
N2,44.21403,6,78.0
N2,44.21416,6,80.78571428571429
N2,44.21415,6,83.57142857142857
N2,44.21425,6,86.35714285714286
N2,44.2143,6,89.14285714285715
N2,44.21433,6,91.92857142857144
N2,44.21436,6,94.7142857142857
N2,44.21438,6,97.5
N2,44.21438,6,100.28571428571428
N2,44.21434,6,103.07142857142856
N2,44.21426,6,105.85714285714286
N2,44.21413,6,108.64285714285714
N2,44.21401,6,111.42857142857144
N2,44.213750000000005,6,114.21428571428572
N2,44.213710000000006,6,117.0
N2,44.21358,6,119.78571428571428
N2,44.21336,6,122.57142857142856
N2,44.21322,6,125.35714285714286
N2,44.213080000000005,6,128.14285714285714
N2,44.21284,6,130.92857142857144
N2,44.212590000000006,6,133.7142857142857
N2,44.21233,6,136.5
N2,44.21208,6,139.2857142857143
N2,44.21177,6,142.07142857142856
N2,44.21148,6,144.85714285714286
N2,44.21114,6,147.64285714285714
N2,44.21081,6,150.42857142857144
N2,44.21047,6,153.2142857142857
N2,44.21016,6,156.0
N2,44.20984,6,158.78571428571428
N2,44.2095,6,161.57142857142858
N2,44.20915,6,164.35714285714286
N2,44.20878,6,167.14285714285714
N2,44.20841,6,169.92857142857142
N2,44.20802,6,172.71428571428572
N2,44.20763,6,175.5
N2,44.20723,6,178.28571428571428
N2,44.20682,6,181.07142857142856
N2,44.2064,6,183.8571428571429
N2,44.20597,6,186.64285714285717
N2,44.20553,6,189.42857142857144
N2,44.205090000000006,6,192.2142857142857
N2,44.20464,6,195.0
N2,44.20419,6,197.78571428571428
N2,44.20373,6,200.57142857142856
N2,44.20326,6,203.3571428571429
N2,44.20279,6,206.14285714285717
N2,44.20231,6,208.92857142857144
N2,44.20185,6,211.7142857142857
N2,44.20137,6,214.5
N2,44.200880000000005,6,217.28571428571428
N2,44.20038,6,220.07142857142856
N2,44.19992,6,222.8571428571429
N2,44.19939,6,225.64285714285717
N2,44.19886,6,228.42857142857144
N2,44.19835,6,231.2142857142857
N2,44.19782,6,234.0
N2,44.19728,6,236.78571428571428
N2,44.19672,6,239.57142857142856
N2,44.19617,6,242.3571428571429
N2,44.19565,6,245.14285714285717
N2,44.19519,6,247.92857142857144
N2,44.19474,6,250.7142857142857
N2,44.19428,6,253.5
N2,44.19386,6,256.2857142857143
N2,44.19335,6,259.0714285714286
N2,44.19284,6,261.8571428571429
N2,44.19232,6,264.6428571428571
N2,44.1918,6,267.4285714285714
N2,44.19128,6,270.21428571428567
N2,44.19076,6,273.0
N2,44.19036,6,275.7857142857143
N2,44.18995,6,278.5714285714286
N2,44.1894,6,281.3571428571429
N2,44.18884,6,284.1428571428571
N2,44.18843,6,286.9285714285714
N2,44.18793,6,289.71428571428567
N2,44.1874,6,292.5
N2,44.1869,6,295.2857142857143
N2,44.18634,6,298.0714285714286
N2,44.18581,6,300.8571428571429
N2,44.185280000000006,6,303.6428571428571
N2,44.18474,6,306.4285714285714
N2,44.18421,6,309.21428571428567
N2,44.18368,6,312.0
